apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\a2dp.Vol_169.apk,a2dp.Vol_169.apk,f67ef52502faf8dbcef310c122d9efe7871effdd8f9fe0ca93b9925513152d37,OK,a2dp.Vol,28,23,13,0,0,0,19,18,20,0,0,0,0,12,0,9,5,3,0,0,1,17,13,6,0,13,v1,2.1
D:\APK_Downloader\android_repositories\fdroid_main\accelerace.apk,accelerace.apk,24390d1e33154e5d3cb6d7e44229628f86fd9b9f004b2e65087a4c7bca87fdcd,ERROR,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0.01
D:\APK_Downloader\android_repositories\fdroid_main\alt.nainapps.aer_1735160000.apk,alt.nainapps.aer_1735160000.apk,b2d42a4f59c7d3a248c69c7b1fac925bb90d05322814268eb9cb5eeb96d707b5,OK,alt.nainapps.aer,35,26,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1,2,6,4,5,3,12,0,12,v2,2.98
D:\APK_Downloader\android_repositories\fdroid_main\anupam.acrylic_19.apk,anupam.acrylic_19.apk,df01309e3641fac77cd9bd356558e122e31f1317f988dfb4144ebad949e0ac84,OK,anupam.acrylic,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,none,0.16
D:\APK_Downloader\android_repositories\fdroid_main\at.h4x.awhip_10100.apk,at.h4x.awhip_10100.apk,ef0896ebfdde39c8215f0a88c130b094a9f75f17c6c894e9fb50df802c8dd10c,OK,at.h4x.awhip,31,21,5,0,0,1,3,1,2,0,1,0,0,12,0,3,0,0,1,1,0,0,13,13,5,13,mixed,9.18
D:\APK_Downloader\android_repositories\fdroid_main\bluepie.ad_silence_55.apk,bluepie.ad_silence_55.apk,c134927f92ecbf34d9a6f7f9571b2d22ae02cc35bf89617e4d0044d035536c15,OK,bluepie.ad_silence,35,21,2,0,0,0,3,4,3,0,0,0,0,0,0,1,1,0,0,1,1,3,13,12,0,13,mixed,0.29
D:\APK_Downloader\android_repositories\fdroid_main\business.braid.polycule_344.apk,business.braid.polycule_344.apk,40295836f19bb6a80002cd99579623af5a4038d5c24f8d2fc3e58f999f30468f,OK,business.braid.polycule,35,23,9,0,0,7,5,11,5,0,14,1,0,10,14,3,4,6,3,5,2,10,17,16,7,17,mixed,7.2
D:\APK_Downloader\android_repositories\fdroid_main\ch.abertschi.adfree_42.apk,ch.abertschi.adfree_42.apk,9863e46e0c892ecd362964ae3197ed7c830e3f88f8980cc9fe333268c0aafe2e,OK,ch.abertschi.adfree,27,23,7,2,0,0,3,2,3,0,0,0,0,12,1,6,2,1,0,1,1,4,19,14,0,19,mixed,11.23
D:\APK_Downloader\android_repositories\fdroid_main\ch.bailu.aat_45.apk,ch.bailu.aat_45.apk,f10bae02e75b884c6e92e165e41c9cc92bff51d85c25aa01feddf68471080491,OK,ch.bailu.aat,33,22,1,0,0,0,0,2,0,0,0,0,0,0,0,18,3,0,3,5,2,14,3,12,0,12,v2,10.88
D:\APK_Downloader\android_repositories\fdroid_main\co.epitre.aelf_lectures_86.apk,co.epitre.aelf_lectures_86.apk,d974af858b0055b27b13a611938f8f5f8302f7c92779bee2b26e75d0ea290862,OK,co.epitre.aelf_lectures,36,21,5,0,1,0,8,7,5,0,0,0,0,12,4,2,4,9,2,5,3,6,17,12,13,17,mixed,5.94
D:\APK_Downloader\android_repositories\fdroid_main\com.acho.chat.app_2.apk,com.acho.chat.app_2.apk,c0f0fbf74a92020d2f4859e02e1ff8564acec66e036435d5160cf74a12e20297,OK,com.acho.chat.app,35,25,3,0,0,0,0,3,3,0,0,0,0,0,0,1,1,1,0,2,0,9,7,9,0,9,none,0.08
D:\APK_Downloader\android_repositories\fdroid_main\com.activitymanager_564.apk,com.activitymanager_564.apk,852106c266754245e00ae17b05cdafa8b43575730eef15761d753cdbd3ae8ce1,OK,com.activitymanager,36,23,3,5,0,2,6,7,5,0,6,0,0,4,0,15,1,1,3,12,2,6,15,18,5,18,mixed,19.57
D:\APK_Downloader\android_repositories\fdroid_main\com.activitytrace_10.apk,com.activitytrace_10.apk,3033b51476c195257e51862e8ee2438ec9db580b8737fe6bb1873deb929ff86b,OK,com.activitytrace,36,26,6,1,1,0,11,13,9,0,0,0,0,11,10,2,6,11,1,5,5,6,19,14,13,19,mixed,14.43
