apk,filename,error,traceback
D:\APK_Downloader\android_repositories\fdroid_main\accelerace.apk,accelerace.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\akylas.alpi.maps_284.apk,akylas.alpi.maps_284.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\app.ninesevennine.twofactorauthenticator_10013004.apk,app.ninesevennine.twofactorauthenticator_10013004.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\ara.note_1.apk,ara.note_1.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\bluepie.ad_silence_55.apk,bluepie.ad_silence_55.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\br.com.wasystems.audiooutputswitcher_11.apk,br.com.wasystems.audiooutputswitcher_11.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\ch.pete.adbclipboard_6.apk,ch.pete.adbclipboard_6.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\com.aicodix.assempix_19.apk,com.aicodix.assempix_19.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\com.alexmercerind.audire_3.apk,com.alexmercerind.audire_3.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
D:\APK_Downloader\android_repositories\izzyondroid\com.amaze.filemanager_125.apk,com.amaze.filemanager_125.apk,End of central directory record (EOCD) signature not found,"Traceback (most recent call last):
  File ""D:\APK_Downloader\analyze_pendingintent_corpus.py"", line 644, in analyze_apk
    apk = APK(str(apk_path))
  File ""D:\Python\Python314\Lib\site-packages\androguard\core\apk\__init__.py"", line 377, in __init__
    self.zip = ZipEntry.parse(filename, False)
               ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 409, in parse
    eocd = EndOfCentralDirectoryRecord.parse(apk_file)
  File ""D:\Python\Python314\Lib\site-packages\apkInspector\headers.py"", line 60, in parse
    raise ValueError(""End of central directory record (EOCD) signature not found"")
ValueError: End of central directory record (EOCD) signature not found
"
