apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\com.github.meypod.al_azan_94000.apk,com.github.meypod.al_azan_94000.apk,b262e5cb7ef2fbc309ff766e283063e3b25f058b647b811b0cbef7934bc6a8cb,OK,com.github.meypod.al_azan,36,26,18,6,1,0,69,89,66,0,2,0,3,18,10,2,6,12,0,7,3,17,19,19,25,25,mixed,7.48
D:\APK_Downloader\android_repositories\fdroid_main\com.pedronveloso.a11ybutton_3.apk,com.pedronveloso.a11ybutton_3.apk,f22a539c35945d5eea817cee49f5bf15148412fc243a54baab30081c5a92572a,OK,com.pedronveloso.a11ybutton,37,30,7,5,1,0,28,29,28,0,2,0,1,11,2,2,4,6,1,4,4,6,19,19,25,25,mixed,1.55
D:\APK_Downloader\android_repositories\fdroid_main\com.tughi.aggregator_299034.apk,com.tughi.aggregator_299034.apk,be0dd843edfdf2fc8fba9a4b70ac0d53a9178883d9c767b98db03fe1cb52470d,OK,com.tughi.aggregator,34,21,14,4,0,1,4,8,3,0,1,0,1,4,2,20,3,1,1,4,3,5,19,19,7,19,mixed,7.47
D:\APK_Downloader\android_repositories\fdroid_main\me.tagavari.airmessage_139.apk,me.tagavari.airmessage_139.apk,c45d89013191ced9816b49d526cdce40207cc65ef2f4eaf841fe666bf3047537,OK,me.tagavari.airmessage,31,23,33,4,1,1,41,58,38,0,2,0,0,15,6,15,10,19,3,11,5,21,19,18,23,23,mixed,34.96
D:\APK_Downloader\android_repositories\fdroid_main\org.secuso.aktivpause_102.apk,org.secuso.aktivpause_102.apk,ec9204313fdadfb169fd68ce2c085e65da06a94ddb922d873ce11d784a5e1fdd,OK,org.secuso.aktivpause,34,21,26,3,1,1,25,30,23,0,2,0,0,9,4,10,6,10,0,5,2,6,19,18,23,23,mixed,11.11
D:\APK_Downloader\android_repositories\fdroid_main\host.stjin.anonaddy_376400100.apk,host.stjin.anonaddy_376400100.apk,6441ed274594e6f0656be3d0208d45e791577c89134cf935dbf86758cca63f60,OK,host.stjin.anonaddy,37,23,29,4,1,1,20,3,4,0,3,0,0,4,18,37,6,7,1,14,5,10,19,18,23,23,mixed,21.03
D:\APK_Downloader\android_repositories\fdroid_main\dev.ukanth.ufirewall_20260301.apk,dev.ukanth.ufirewall_20260301.apk,243de7e55695f199e32241037be404cb5c9bf915cbedf1fc4b678ed7be31eb8d,OK,dev.ukanth.ufirewall,36,21,27,6,0,1,18,29,14,0,18,0,0,10,18,16,6,7,2,13,4,14,19,18,5,19,mixed,7.88
D:\APK_Downloader\android_repositories\fdroid_main\com.shapeshed.aerial_15.apk,com.shapeshed.aerial_15.apk,f8c8bedecc6cff5f04e76fc91be102f1993865059d0fec0332dc6a5f1982d524,OK,com.shapeshed.aerial,37,26,12,2,0,0,18,24,17,0,2,0,0,25,1,1,3,1,2,4,1,7,19,18,5,19,mixed,5.56
D:\APK_Downloader\android_repositories\fdroid_main\com.acutis.firewall_10005.apk,com.acutis.firewall_10005.apk,8764457bf8555770feb9d3633af8bf1d1f2eba91658ffa0d8235ecbb85a62b0f,OK,com.acutis.firewall,35,29,10,5,1,0,17,21,15,0,2,0,0,8,6,1,5,10,1,4,4,8,19,18,23,23,mixed,12.3
D:\APK_Downloader\android_repositories\fdroid_main\info.metadude.android.congress.schedule_121.apk,info.metadude.android.congress.schedule_121.apk,fa45df9eb8e1a82097714f140da7c177c71d33bc5a62476f7459e9bc31448840,OK,info.metadude.android.congress.schedule,36,23,10,5,0,0,13,24,15,0,2,0,0,4,4,8,1,4,1,2,2,8,19,18,5,19,mixed,10.57
D:\APK_Downloader\android_repositories\fdroid_main\com.adguard.android.contentblocker_22000250.apk,com.adguard.android.contentblocker_22000250.apk,bd60f30ea52954a606de7c446cedee39e8a89de5d18b15b616ebb2e7b33bc26f,OK,com.adguard.android.contentblocker,34,21,11,1,1,0,9,9,7,0,1,0,0,9,2,8,4,11,2,4,2,6,19,18,23,23,mixed,11.86
